pokedex_number,name,type1,type2,abilities,classification,capture_rate,experience_growth,percentage_male,height_m,weight_kg,base_happiness,base_egg_steps,generation,is_legendary,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
17,Pidgeotto,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Bird Pokémon,120,1059860,50.0,1.1,30.0,70.0,3840,1,0,349,63,60,55,50,50,71,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
18,Pidgeot,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Bird Pokémon,45,1059860,50.0,1.5,39.5,70.0,3840,1,0,579,83,80,80,135,80,121,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
19,Rattata,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Mouse Pokémon,255,1000000,50.0,,,70.0,3840,1,0,253,30,56,35,25,35,72,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Raticate,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Mouse Pokémon,127,1000000,50.0,,,70.0,3840,1,0,413,75,71,70,40,80,77,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,Spearow,normal,flying,"['Keen Eye', 'Sniper']",Tiny Bird Pokémon,255,1000000,50.0,0.3,2.0,70.0,3840,1,0,262,40,60,30,31,31,70,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
22,Fearow,normal,flying,"['Keen Eye', 'Sniper']",Beak Pokémon,90,1000000,50.0,1.2,38.0,70.0,3840,1,0,442,65,90,65,61,61,100,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
23,Ekans,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",Snake Pokémon,255,1000000,50.0,2.0,6.9,70.0,5120,1,0,288,35,60,44,40,54,55,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
24,Arbok,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",Cobra Pokémon,90,1000000,50.0,3.5,65.0,70.0,5120,1,0,448,60,95,69,65,79,80,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
25,Pikachu,electric,,"['Static', 'Lightningrod']",Mouse Pokémon,190,1000000,50.0,0.4,6.0,70.0,2560,1,0,320,35,55,40,50,50,90,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,Raichu,electric,electric,"['Static', 'Lightningrod', 'Surge Surfer']",Mouse Pokémon,75,1000000,50.0,,,70.0,2560,1,0,485,60,85,50,95,85,110,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
27,Sandshrew,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Mouse Pokémon,255,1000000,50.0,,,70.0,5120,1,0,300,50,75,90,10,35,40,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
28,Sandslash,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Mouse Pokémon,90,1000000,50.0,,,70.0,5120,1,0,450,75,100,120,25,65,65,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
29,Nidoran♀,poison,,"['Poison Point', 'Rivalry', 'Hustle']",Poison Pin Pokémon,235,1059860,0.0,0.4,7.0,70.0,5120,1,0,275,55,47,52,40,40,41,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
30,Nidorina,poison,,"['Poison Point', 'Rivalry', 'Hustle']",Poison Pin Pokémon,120,1059860,0.0,0.8,20.0,70.0,5120,1,0,365,70,62,67,55,55,56,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
31,Nidoqueen,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",Drill Pokémon,45,1059860,0.0,1.3,60.0,70.0,5120,1,0,505,90,92,87,75,85,76,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
32,Nidoran♂,poison,,"['Poison Point', 'Rivalry', 'Hustle']",Poison Pin Pokémon,235,1059860,100.0,0.5,9.0,70.0,5120,1,0,273,46,57,40,40,40,50,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
33,Nidorino,poison,,"['Poison Point', 'Rivalry', 'Hustle']",Poison Pin Pokémon,120,1059860,100.0,0.9,19.5,70.0,5120,1,0,365,61,72,57,55,55,65,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
34,Nidoking,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",Drill Pokémon,45,1059860,100.0,1.4,62.0,70.0,5120,1,0,505,81,102,77,85,75,85,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
35,Clefairy,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",Fairy Pokémon,150,800000,24.6,0.6,7.5,140.0,2560,1,0,323,70,45,48,60,65,35,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
36,Clefable,fairy,,"['Cute Charm', 'Magic Guard', 'Unaware']",Fairy Pokémon,25,800000,24.6,1.3,40.0,140.0,2560,1,0,483,95,70,73,95,90,60,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
37,Vulpix,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Fox Pokémon,190,1000000,24.6,,,70.0,5120,1,0,299,38,41,40,50,65,65,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
38,Ninetales,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Fox Pokémon,75,1000000,24.6,,,70.0,5120,1,0,505,73,67,75,81,100,109,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
39,Jigglypuff,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",Balloon Pokémon,170,800000,24.6,0.5,5.5,70.0,2560,1,0,270,115,45,20,45,25,20,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
40,Wigglytuff,normal,fairy,"['Cute Charm', 'Competitive', 'Frisk']",Balloon Pokémon,50,800000,24.6,1.0,12.0,70.0,2560,1,0,435,140,70,45,85,50,45,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
41,Zubat,poison,flying,"['Inner Focus', 'Infiltrator']",Bat Pokémon,255,1000000,50.0,0.8,7.5,70.0,3840,1,0,245,40,45,35,30,40,55,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
42,Golbat,poison,flying,"['Inner Focus', 'Infiltrator']",Bat Pokémon,90,1000000,50.0,1.6,55.0,70.0,3840,1,0,455,75,80,70,65,75,90,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
43,Oddish,grass,poison,"['Chlorophyll', 'Run Away']",Weed Pokémon,255,1059860,50.0,0.5,5.4,70.0,5120,1,0,320,45,50,55,75,65,30,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
44,Gloom,grass,poison,"['Chlorophyll', 'Stench']",Weed Pokémon,120,1059860,50.0,0.8,8.6,70.0,5120,1,0,395,60,65,70,85,75,40,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
45,Vileplume,grass,poison,"['Chlorophyll', 'Effect Spore']",Flower Pokémon,45,1059860,50.0,1.2,18.6,70.0,5120,1,0,490,75,80,85,110,90,50,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
46,Paras,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",Mushroom Pokémon,190,1000000,50.0,0.3,5.4,70.0,5120,1,0,285,35,70,55,45,55,25,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
47,Parasect,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",Mushroom Pokémon,75,1000000,50.0,1.0,29.5,70.0,5120,1,0,405,60,95,80,60,80,30,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
48,Venonat,bug,poison,"['Compoundeyes', 'Tinted Lens', 'Run Away']",Insect Pokémon,190,1000000,50.0,1.0,30.0,70.0,5120,1,0,305,60,55,50,40,55,45,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
49,Venomoth,bug,poison,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",Poison Moth Pokémon,75,1000000,50.0,1.5,12.5,70.0,5120,1,0,450,70,65,60,90,75,90,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
50,Diglett,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Mole Pokémon,255,1000000,50.0,,,70.0,5120,1,0,265,10,55,30,35,45,90,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
51,Dugtrio,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Mole Pokémon,50,1000000,50.0,,,70.0,5120,1,0,425,35,100,60,50,70,110,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
52,Meowth,normal,dark,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",Scratch Cat Pokémon,255,1000000,50.0,,,70.0,5120,1,0,290,40,35,35,50,40,90,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,Persian,normal,dark,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",Classy Cat Pokémon,90,1000000,50.0,,,70.0,5120,1,0,440,65,60,60,75,65,115,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,Psyduck,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",Duck Pokémon,190,1000000,50.0,0.8,19.6,70.0,5120,1,0,320,50,52,48,65,50,55,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
55,Golduck,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",Duck Pokémon,75,1000000,50.0,1.7,76.6,70.0,5120,1,0,500,80,82,78,95,80,85,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
56,Mankey,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",Pig Monkey Pokémon,190,1000000,50.0,0.5,28.0,70.0,5120,1,0,305,40,80,35,35,45,70,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
57,Primeape,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",Pig Monkey Pokémon,75,1000000,50.0,1.0,32.0,70.0,5120,1,0,455,65,105,60,60,70,95,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
58,Growlithe,fire,,"['Intimidate', 'Flash Fire', 'Justified']",Puppy Pokémon,190,1250000,75.4,0.7,19.0,70.0,5120,1,0,350,55,70,45,70,50,60,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
59,Arcanine,fire,,"['Intimidate', 'Flash Fire', 'Justified']",Legendary Pokémon,75,1250000,75.4,1.9,155.0,70.0,5120,1,0,555,90,110,80,100,80,95,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
60,Poliwag,water,,"['Water Absorb', 'Damp', 'Swift Swim']",Tadpole Pokémon,255,1059860,50.0,0.6,12.4,70.0,5120,1,0,300,40,50,40,40,40,90,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
61,Poliwhirl,water,,"['Water Absorb', 'Damp', 'Swift Swim']",Tadpole Pokémon,120,1059860,50.0,1.0,20.0,70.0,5120,1,0,385,65,65,65,50,50,90,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
62,Poliwrath,water,fighting,"['Water Absorb', 'Damp', 'Swift Swim']",Tadpole Pokémon,45,1059860,50.0,1.3,54.0,70.0,5120,1,0,510,90,95,95,70,90,70,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5
63,Abra,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",Psi Pokémon,200,1059860,75.4,0.9,19.5,70.0,5120,1,0,310,25,20,15,105,55,90,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
64,Kadabra,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",Psi Pokémon,100,1059860,75.4,1.3,56.5,70.0,5120,1,0,400,40,35,30,120,70,105,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
65,Alakazam,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",Psi Pokémon,50,1059860,75.4,1.5,48.0,70.0,5120,1,0,600,55,50,65,175,105,150,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
66,Machop,fighting,,"['Guts', 'No Guard', 'Steadfast']",Superpower Pokémon,180,1059860,75.4,0.8,19.5,70.0,5120,1,0,305,70,80,50,35,35,35,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
67,Machoke,fighting,,"['Guts', 'No Guard', 'Steadfast']",Superpower Pokémon,90,1059860,75.4,1.5,70.5,70.0,5120,1,0,405,80,100,70,50,60,45,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
68,Machamp,fighting,,"['Guts', 'No Guard', 'Steadfast']",Superpower Pokémon,45,1059860,75.4,1.6,130.0,70.0,5120,1,0,505,90,130,80,65,85,55,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
69,Bellsprout,grass,poison,"['Chlorophyll', 'Gluttony']",Flower Pokémon,255,1059860,50.0,0.7,4.0,70.0,5120,1,0,300,50,75,35,70,30,40,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
70,Weepinbell,grass,poison,"['Chlorophyll', 'Gluttony']",Flycatcher Pokémon,120,1059860,50.0,1.0,6.4,70.0,5120,1,0,390,65,90,50,85,45,55,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
71,Victreebel,grass,poison,"['Chlorophyll', 'Gluttony']",Flycatcher Pokémon,45,1059860,50.0,1.7,15.5,70.0,5120,1,0,490,80,105,65,100,70,70,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
72,Tentacool,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",Jellyfish Pokémon,190,1250000,50.0,0.9,45.5,70.0,5120,1,0,335,40,40,35,50,100,70,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
73,Tentacruel,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",Jellyfish Pokémon,60,1250000,50.0,1.6,55.0,70.0,5120,1,0,515,80,70,65,80,120,100,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
74,Geodude,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",Rock Pokémon,255,1059860,50.0,,,70.0,3840,1,0,300,40,80,100,30,30,20,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
75,Graveler,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",Rock Pokémon,120,1059860,50.0,,,70.0,3840,1,0,390,55,95,115,45,45,35,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
76,Golem,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",Megaton Pokémon,45,1059860,50.0,,,70.0,3840,1,0,495,80,120,130,55,65,45,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
77,Ponyta,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",Fire Horse Pokémon,190,1000000,50.0,1.0,30.0,70.0,5120,1,0,410,50,85,55,65,65,90,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
78,Rapidash,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",Fire Horse Pokémon,60,1000000,50.0,1.7,95.0,70.0,5120,1,0,500,65,100,70,80,80,105,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
79,Slowpoke,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",Dopey Pokémon,190,1000000,50.0,1.2,36.0,70.0,5120,1,0,315,90,65,65,40,40,15,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
80,Slowbro,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",Hermit Crab Pokémon,75,1000000,50.0,1.6,78.5,70.0,5120,1,0,590,95,75,180,130,80,30,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
81,Magnemite,electric,steel,"['Magnet Pull', 'Sturdy', 'Analytic']",Magnet Pokémon,190,1000000,,0.3,6.0,70.0,5120,1,0,325,25,35,70,95,55,45,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
82,Magneton,electric,steel,"['Magnet Pull', 'Sturdy', 'Analytic']",Magnet Pokémon,60,1000000,,1.0,60.0,70.0,5120,1,0,465,50,60,95,120,70,70,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
83,Farfetch'd,normal,flying,"['Keen Eye', 'Inner Focus', 'Defiant']",Wild Duck Pokémon,45,1000000,50.0,0.8,15.0,70.0,5120,1,0,377,52,90,55,58,62,60,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
